Toronto Downtown, (31103) Hourly, Fine Particulate Matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto Downtown (31103),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Bay St./wellesley St. W.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.662972,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.388111,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 105 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,10 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,11/6/2003,18,16,15,17,24,28,28,28,28,29,32,19,14,13,11,10,14,9,10,9,7,9,10,11
31103,Fine Particulate Matter,12/6/2003,9,6,5,5,4,5,6,7,7,6,7,6,7,6,5,5,5,7,7,6,7,9,4,2
31103,Fine Particulate Matter,13/6/2003,5,7,8,9,8,8,7,7,6,6,5,13,15,24,25,28,32,33,25,19,15,17,21,22
31103,Fine Particulate Matter,14/6/2003,23,38,36,15,6,3,5,6,8,9,12,13,15,16,13,18,19,18,20,22,12,11,12,13
31103,Fine Particulate Matter,15/6/2003,15,15,14,13,12,13,12,13,12,9,10,13,12,12,8,8,11,10,10,14,17,9,8,9
31103,Fine Particulate Matter,16/6/2003,15,8,5,7,9,9,13,10,8,6,8,10,12,12,7,5,5,4,3,7,7,6,5,6
31103,Fine Particulate Matter,17/6/2003,6,6,6,6,6,8,9,12,18,27,32,32,30,30,32,37,37,31,28,32,31,29,31,32
31103,Fine Particulate Matter,18/6/2003,23,16,13,13,10,12,18,20,16,16,19,21,20,22,18,21,20,16,18,19,18,19,21,24
31103,Fine Particulate Matter,19/6/2003,25,24,20,17,23,20,20,27,21,14,9,10,9,8,10,9,9,8,6,6,7,8,8,6
31103,Fine Particulate Matter,20/6/2003,5,4,4,3,2,3,6,9,9,8,10,7,11,7,9,7,7,5,7,6,6,9,14,16
